,vaihingen_train_coordinate_list_method1,ai4gg_complexity,vaihingen_train_coordinate_list_method2,ai4gg_hybrid,ai4gg_diversity,vaihingen_train_coordinate_list_hybrid
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_600_0,0.84869858110617,0.9349650349650348,0.439552760307477,0.7944055944055944,0.7945492662473794,0.644125671
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_2290_400,0.765231611675798,0.258041958041958,0.632424877707897,0.1412587412587412,0.2320055904961565,0.698828245
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1739_400,0.515607582323062,0.0748251748251748,0.314465408805031,0.9636363636363636,0.9636617749825296,0.415036496
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_1600_2562,0.810728534697647,0.5328671328671328,0.682040531097135,0.8300699300699301,0.8301886792452831,0.746384533
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_400_1000,0.707859304748188,0.4426573426573427,0.06429070580014,0.2419580419580419,0.4737945492662473,0.386075005
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_600_0,0.824918787239668,0.2482517482517482,0.012578616352201,0.1363636363636363,0.113906359189378,0.418748702
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_1200_1000,0.895021698018661,0.9818181818181818,0.694619147449336,0.5,0.0628930817610062,0.794820423
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_800_1400,0.779471135701637,0.7307692307692308,0.185883997204752,0.8846153846153846,0.8846960167714885,0.482677566
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_400_1600,0.849929553168233,0.1489510489510489,0.86512928022362,0.0776223776223776,0.1754018169112508,0.857529417
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2000_400,0.872627993364642,0.5734265734265734,0.454227812718379,0.3055944055944056,0.0146750524109014,0.663427903
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_0_1200,0.971380612032042,0.793006993006993,0.725366876310273,0.7216783216783217,0.7218728162124388,0.848373744
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1200_1000,0.782645179912126,0.2041958041958042,0.90146750524109,0.8587412587412587,0.8588399720475192,0.842056343
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1800_1000,0.902046275001418,0.1377622377622377,0.007686932215234,0.0685314685314685,0.363382250174703,0.454866604
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_400_1400,0.717528512867522,0.1601398601398601,0.937106918238994,0.8524475524475524,0.8525506638714185,0.827317716
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_2290_1600,0.824710279970149,0.7426573426573426,0.886792452830189,0.3874125874125874,0.4542278127183787,0.855751366
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_600_1600,0.823731196686957,0.441958041958042,0.911949685534591,0.8867132867132868,0.8867924528301887,0.867840441
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_0_1647,0.900724932039614,0.3405594405594405,0.355695317959469,0.1902097902097902,0.5010482180293501,0.628210125
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_0_800,0.956604271712539,0.3461538461538461,0.391334730957372,0.8923076923076922,0.8923829489867225,0.673969501
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1400_600,0.71852407069184,0.1867132867132866,0.039832285115304,0.0972027972027972,0.2683438155136268,0.379178178
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_2000_1724,0.785038661233418,0.5314685314685315,0.280223619846261,0.2888111888111888,0.270440251572327,0.532631141
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2000_2000,0.634457921331334,0.3825174825174825,0.740740740740741,0.8769230769230769,0.8770090845562544,0.687599331
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1800_0,0.829894066058491,0.5832167832167832,0.929419986023759,0.913986013986014,0.9140461215932912,0.879657026
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1600_1200,0.739290012439372,0.6664335664335664,0.242487770789658,0.7685314685314686,0.7686932215234102,0.490888892
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_1400_1631,0.802031367973214,0.993006993006993,0.870020964360587,0.6699300699300699,0.6701607267645003,0.836026166
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_200_2200,0.871010988898601,0.8195804195804196,0.495457721872816,0.4258741258741259,0.1823899371069182,0.683234355
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_2000_1600,0.827460311221754,0.4230769230769231,0.069881201956674,0.23006993006993,0.0880503144654088,0.448670757
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_200_1000,0.838138574117965,0.6979020979020979,0.329140461215933,0.3685314685314685,0.4339622641509434,0.583639518
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_600_1200,0.669191252896996,0.3146853146853147,0.449336128581412,0.6482517482517482,0.6484975541579315,0.559263691
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_800_400,0.848192401916774,0.3482517482517482,0.050314465408805,0.1923076923076923,0.286512928022362,0.449253434
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_0_1200,0.942257098079578,0.3741258741258741,0.111111111111111,0.6447552447552447,0.6450034940600978,0.526684105
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_0_400,0.866219375132269,0.4965034965034964,0.343116701607268,0.5552447552447553,0.5555555555555556,0.604668038
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_600_1000,0.813425599647505,0.3629370629370629,0.051013277428372,0.9923076923076924,0.992313067784766,0.432219439
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_2200_1000,0.80398570931633,0.4006993006993007,0.248078266946191,0.5272727272727273,0.527603074772886,0.526031988
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_400_1000,0.777619532031218,0.9517482517482516,0.793850454227813,0.486013986013986,0.0188679245283018,0.785734993
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_0_1400,0.780758844953159,0.8328671328671329,0.394129979035639,0.4307692307692308,0.1250873515024458,0.587444412
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_600_1400,0.828915113180637,0.4153846153846153,0.582809224318658,0.2265734265734266,0.5108315863032844,0.705862169
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2200_1200,0.739352954749533,0.2027972027972028,0.847658979734451,0.1090909090909091,0.0978336827393431,0.793505967
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_0_1400,0.919855438699898,0.941958041958042,0.251572327044025,0.7265734265734265,0.726764500349406,0.585713883
